merged.pos,gene,mean.1A,mean.1B,mean.3A
329,5'UTR,0.003615854,0.003591065,0.004013743
330,5'UTR,0.003765587,0.002774356,0.005098725
331,5'UTR,0.001352876,0.001053042,0.001750092
332,5'UTR,0.004525459,0.003812725,0.004104879
333,5'UTR,0.001883393,0.001399534,0.001624511
334,5'UTR,0.003460623,0.00325232,0.004124773
335,5'UTR,0.004078895,0.003861202,0.004569783
336,5'UTR,0.005342225,0.0057801,0.005963376
337,5'UTR,0.003256811,0.002758637,0.008730841
338,5'UTR,0.003012102,0.002936361,0.002804874
339,5'UTR,0.004472918,0.004059347,0.003763815
340,5'UTR,0.006682256,0.004657676,0.006374215
341,5'UTR,0.003243226,0.002260805,0.001454701
342,Core,0.002797971,0.002654559,0.003417631
343,Core,0.003492232,0.002982928,0.002755356
344,Core,0.001337415,0.001431271,0.00149669
345,Core,0.004940752,0.004598506,0.005129707
346,Core,0.002453062,0.002209791,0.003966208
347,Core,0.002796579,0.002091873,0.004340584
348,Core,0.003811813,0.004079205,0.006377544
349,Core,0.002797526,0.01317702,0.001899043
350,Core,0.004665855,0.010956735,0.00361513
351,Core,0.003884361,0.003984975,0.00194298
352,Core,0.003335055,0.003267577,0.007139768
353,Core,0.005670922,0.006189262,0.005939801
354,Core,0.001580094,0.00169581,0.001447763
355,Core,0.002250558,0.001909472,0.001494192
356,Core,0.005043037,0.003982797,0.006928556
357,Core,0.002823147,0.002980875,0.002170142
358,Core,0.003982525,0.00355616,0.00385939
359,Core,0.004616411,0.005405226,0.004228308
360,Core,0.001362414,0.001850426,0.001981254
361,Core,0.001348357,0.001434184,0.001666207
362,Core,0.010188238,0.010988358,NA
363,Core,0.000895826,0.000727418,0.000817933
364,Core,0.003505311,0.003097326,0.003567152
365,Core,0.004248836,0.003687475,0.003404064
366,Core,0.006170124,0.005550433,0.005537408
367,Core,0.001629712,0.001222504,0.001327813
368,Core,0.005613776,0.013877324,0.008446126
369,Core,0.003583158,0.003935577,0.005595972
370,Core,0.006041279,0.005483332,0.005789627
371,Core,0.005788044,0.006143526,0.006409933
372,Core,0.005327927,0.004786556,0.005407195
373,Core,0.001538778,0.002234548,0.001249035
374,Core,0.003863823,0.002687496,0.002729212
375,Core,0.003360796,0.003218124,0.002514376
376,Core,0.005125588,0.003748033,0.00449451
377,Core,0.007456091,0.006616702,0.009596539
378,Core,0.003210065,0.003160766,0.00760497
379,Core,0.003260489,0.003609282,0.001450046
380,Core,0.006047311,0.004826006,0.006193367
381,Core,0.003237979,0.002389762,0.003630441
382,Core,0.005191336,0.004273879,0.008038572
383,Core,0.00222421,0.003655905,0.002426418
384,Core,0.005920837,0.010196277,0.005062853
385,Core,0.005617503,0.008088507,0.002482575
386,Core,0.003231599,0.002796491,0.004042117
387,Core,0.003378701,0.003362534,0.006696354
388,Core,0.005905602,0.004534069,0.007517845
389,Core,0.001890664,0.001843088,0.001541246
390,Core,0.003193332,0.002111865,0.002935877
391,Core,0.002432633,0.005069343,0.001744676
392,Core,0.010424791,0.005895432,0.006501236
393,Core,0.001800512,0.002148033,0.005685405
394,Core,0.002910179,0.002504565,0.002849918
395,Core,0.001869629,0.002140844,0.002182888
396,Core,0.001890989,0.001241303,0.002186416
397,Core,0.001700531,0.001518016,0.001518709
398,Core,0.003275873,0.003113722,0.00340248
399,Core,0.002704933,0.001869704,0.001568985
400,Core,0.004077677,0.004450974,0.003978948
401,Core,0.001645889,0.001506308,0.00140714
402,Core,0.001432453,0.001619735,0.002735407
403,Core,0.005327342,0.004840912,0.005402207
404,Core,0.002735148,0.002511775,0.004509521
405,Core,0.00259603,0.002925974,0.00245304
406,Core,0.006418106,0.006082124,0.006926031
407,Core,0.015375718,0.0181183,0.02864537
408,Core,0.004518241,0.004218859,0.004071312
409,Core,0.005543323,0.006251966,0.004979613
410,Core,0.002059042,0.001687537,0.001617992
411,Core,0.003100016,0.003526797,0.003309285
412,Core,0.004455792,0.004388033,0.004371381
413,Core,0.00499238,0.004503839,0.003979158
414,Core,0.001561543,0.001587453,0.002148564
415,Core,0.002507579,0.002533397,0.002413449
416,Core,0.00289393,0.00278016,0.003082174
417,Core,0.001658805,0.001980046,0.0018434
418,Core,0.001447515,0.001770218,0.001422241
419,Core,0.00688863,0.009965538,0.005492205
420,Core,0.001606751,0.001886846,0.001247597
421,Core,0.001695256,0.001373754,0.002221413
422,Core,0.008513662,0.00816218,0.004146613
423,Core,0.003517024,0.002500577,0.003580497
424,Core,0.001576786,0.001886794,0.001799581
425,Core,0.009024603,0.024384792,0.006295741
426,Core,0.001421946,0.002321854,0.001188745
427,Core,0.004189675,0.004049457,0.004911061
428,Core,0.001478389,0.001736966,0.001372102
429,Core,0.004949523,0.004134763,0.003977554
430,Core,0.002956937,0.002749419,0.002975808
431,Core,0.002361844,0.002424776,0.002044369
432,Core,0.001739153,0.00167228,0.001529618
433,Core,0.002768562,0.002627137,0.003039467
434,Core,0.007640507,0.004176499,0.007297663
435,Core,0.001553532,0.001265869,0.001396562
436,Core,0.001765732,0.001420361,0.00137195
437,Core,0.004661348,0.00461617,0.003607391
438,Core,0.001569117,0.001672541,0.00186232
439,Core,0.001242745,0.001280981,0.001833439
440,Core,0.005301739,0.005206111,0.005260705
441,Core,0.001158625,0.000987222,0.001492851
442,Core,0.004109835,0.005787375,0.004761127
443,Core,0.005194252,0.004974434,0.006506502
444,Core,0.002049289,0.00289927,0.003596955
445,Core,0.002595761,0.00269492,0.002911072
446,Core,0.002441874,0.001719596,0.002496965
447,Core,0.006004902,0.020578904,0.002230506
448,Core,0.006470498,0.005154688,0.004928189
449,Core,0.001513669,0.002233156,0.001834222
450,Core,0.005705165,0.004882702,0.006305834
451,Core,0.003985153,0.003558409,0.003798863
452,Core,0.005972478,0.008502961,0.002826751
453,Core,0.003061431,0.002620954,0.002485684
454,Core,0.002685775,0.00267657,0.002457195
455,Core,0.003373667,0.002865448,0.00344739
456,Core,0.00213177,0.002238154,0.001586878
457,Core,0.002210544,0.002550677,0.002293259
458,Core,0.001879568,0.001587185,0.001453276
459,Core,0.003403523,0.00272738,0.005220977
460,Core,0.001229365,0.001074646,0.001137828
461,Core,0.001818306,0.001628217,0.002203189
462,Core,0.002323039,0.001895808,0.00164275
463,Core,0.001924821,0.001720259,0.002379808
464,Core,0.001952024,0.001324306,0.001750982
465,Core,0.002343454,0.003162332,0.002492975
466,Core,0.001860951,0.00169877,0.001999339
467,Core,0.00588257,0.003484288,0.008471121
468,Core,0.002915179,0.002608782,0.002430368
469,Core,0.001136155,0.001810558,0.001801436
470,Core,0.006936753,0.00319405,NA
471,Core,0.004035937,0.00583522,0.004710085
472,Core,0.002229592,0.002344243,0.002121425
473,Core,0.001647862,0.001311224,0.002731738
474,Core,0.002684143,0.003111829,0.00258171
475,Core,0.002459662,0.00287586,0.003644544
476,Core,0.004185563,0.003891649,0.005184513
477,Core,0.00205544,0.00256131,0.001932488
478,Core,0.003500784,0.003290219,0.003588132
479,Core,0.002063073,0.002083749,0.002048717
480,Core,0.003087497,0.002650577,0.003900459
481,Core,0.002886891,0.003220697,0.002353042
482,Core,0.004272029,0.003219856,0.00619612
483,Core,0.002257611,0.002060095,0.002020953
484,Core,0.00242532,0.002833755,0.002029204
485,Core,0.00200872,0.011707591,0.005429246
486,Core,0.005631995,0.004085516,NA
487,Core,0.001662434,0.001064146,0.001347061
488,Core,0.002263328,0.004358724,0.00483924
489,Core,0.003525635,0.003464752,0.002729489
490,Core,0.001103109,0.001112319,0.001676052
491,Core,0.002402152,0.001283958,0.009904335
492,Core,0.006040951,0.006995785,0.001916365
493,Core,0.006234536,0.00590124,0.00318101
494,Core,0.001864117,0.001070068,0.007573548
495,Core,0.00471351,0.004278515,0.004388956
496,Core,0.000855226,0.000580736,0.000546165
497,Core,0.005818335,0.00545792,0.00545429
498,Core,0.004249491,0.004434025,0.003705816
499,Core,0.001276426,0.001365359,0.001178189
500,Core,0.003563897,0.003787896,0.004270866
501,Core,0.001931193,0.001935869,0.000818204
502,Core,0.003450558,0.003318044,0.003912948
503,Core,0.001809858,0.00184392,0.018376583
504,Core,0.002618865,0.002433432,0.001952225
505,Core,0.002259674,0.002520985,0.003226141
506,Core,0.001612792,0.001505875,0.002459188
507,Core,0.004994707,0.004882347,0.005772061
508,Core,0.003327648,0.003021271,0.002451344
509,Core,0.007849155,0.005120804,0.005170326
510,Core,0.001702084,0.001962104,0.001884611
511,Core,0.004585369,0.004115062,0.003875042
512,Core,0.006774008,0.005497504,0.002613722
513,Core,0.001032215,0.002420161,0.002245317
514,Core,0.001153065,0.001269744,0.001418355
515,Core,0.00392376,0.004151162,0.006227476
516,Core,0.001573507,0.001936692,0.001819711
517,Core,0.001487309,0.002670103,0.002497046
518,Core,0.004508577,0.005551415,NA
519,Core,0.001762508,0.001420363,0.00359967
520,Core,0.002201665,0.001231012,0.007121877
521,Core,0.008668057,0.00458758,0.003795402
522,Core,0.003183205,0.005077908,0.001594781
523,Core,0.00160277,0.00125141,0.002292761
524,Core,0.008624233,0.003249352,NA
525,Core,0.002604451,0.002999731,0.003074165
526,Core,0.00246435,0.002519916,0.002366756
527,Core,0.010555462,0.007387318,NA
528,Core,0.001359659,0.002655407,0.001475154
529,Core,0.004638738,0.003625941,0.003819679
530,Core,0.002952199,0.007879561,0.001915942
531,Core,0.002205888,0.001229999,0.002078041
532,Core,0.001798115,0.001699497,0.002188371
533,Core,0.006125373,0.004533231,0.004123416
534,Core,0.002511196,0.002141293,0.002515768
535,Core,0.004415901,0.004467614,0.005346351
536,Core,0.007524435,0.008715442,0.003077146
537,Core,0.00233307,0.001494369,0.001839444
538,Core,0.001737857,0.001814647,0.002206569
539,Core,0.005107049,0.002776303,0.007515247
540,Core,0.001888892,0.00195346,0.002610228
541,Core,0.003617339,0.004815942,NA
542,Core,0.001598063,0.001671586,0.004205555
543,Core,0.002427282,0.002821836,0.002759245
544,Core,0.003432546,0.005885574,0.002315271
545,Core,0.020289699,0.005577597,0.002396324
546,Core,0.0030474,0.002871607,0.002605251
547,Core,0.002614793,0.003424236,0.002422382
548,Core,0.006451734,0.004059443,0.006439784
549,Core,0.002151984,0.002085033,0.001454125
550,Core,0.003827618,0.003874893,0.005072829
551,Core,0.005067136,0.012890853,0.001608843
552,Core,0.003804662,0.002106405,0.005539671
553,Core,0.002253393,0.001548459,0.001774542
554,Core,0.003575238,0.002588203,0.003110491
555,Core,0.001533222,0.002789826,0.002109663
556,Core,0.003391735,0.003827413,0.004170879
557,Core,0.001730994,0.002733986,0.005368425
558,Core,0.001415141,0.001426235,0.001234439
559,Core,0.002176246,0.002068845,0.00256247
560,Core,0.007687782,0.010359985,0.002499796
561,Core,0.003499673,0.00397726,0.002580913
562,Core,0.002126853,0.002225847,0.002963638
563,Core,0.00275847,0.01013219,0.001636646
564,Core,0.007233854,0.00506774,0.005476444
565,Core,0.001094948,0.00254373,0.001395794
566,Core,0.002085314,0.002510927,0.00103013
567,Core,0.003943599,0.003315736,0.002873141
568,Core,0.00194526,0.001464479,0.002785519
569,Core,0.001863608,0.001805574,0.00339059
570,Core,0.002830228,0.003003673,0.002568884
571,Core,0.001308044,0.001598661,0.001323705
572,Core,0.012911219,0.007668502,0.008296079
573,Core,0.001124609,0.00123769,0.001184528
574,Core,0.002963119,0.002989149,0.003194987
575,Core,0.002198314,0.001879066,0.002165438
576,Core,0.001891348,0.002243395,0.001752404
577,Core,0.001415999,0.00125424,0.001459293
578,Core,0.008628137,0.00258969,0.006516522
579,Core,0.00221833,0.001990993,0.001864144
580,Core,0.002283714,0.002410795,0.002096115
581,Core,0.002224778,0.002721223,0.002087064
582,Core,0.003870488,0.008141994,0.003119937
583,Core,0.002014441,0.001983914,0.002591078
584,Core,0.009932344,0.016121588,0.003121868
585,Core,0.001997247,0.002470981,0.001771994
586,Core,0.000960181,0.001121337,0.000879812
587,Core,0.009078612,0.006706542,0.003660478
588,Core,0.00300616,0.002873163,0.003267834
589,Core,0.002395115,0.002446154,0.002867666
590,Core,0.002511117,0.002078716,0.002103289
591,Core,0.002716884,0.002482147,0.002780242
592,Core,0.001958338,0.002202603,0.001923995
593,Core,0.003942772,0.006333594,0.002282274
594,Core,0.00131645,0.001160859,0.001081797
595,Core,0.004379248,0.00416944,0.004200869
596,Core,0.002134109,0.001967009,0.003176182
597,Core,0.002124302,0.002619718,0.002473545
598,Core,0.001838568,0.001730377,0.002126034
599,Core,0.011427316,0.010102045,0.004745987
600,Core,0.001852718,0.002194267,0.00113862
601,Core,0.002925884,0.002916687,0.001237895
602,Core,0.006959594,0.010468144,0.006320023
603,Core,0.004263306,0.003597821,0.003163774
604,Core,0.002320964,0.002287096,0.003274096
605,Core,0.009311669,0.013198866,NA
606,Core,0.001657093,0.001774185,0.002352121
607,Core,0.003345114,0.003145129,0.00265256
608,Core,0.006029252,0.002137796,0.002105508
609,Core,0.005186445,0.002860216,0.002401624
610,Core,0.005792633,0.002573171,0.004321772
611,Core,NA,0.011429645,0.003109873
612,Core,0.003813478,0.003188862,0.007057791
613,Core,0.001330083,0.002788604,0.00150199
614,Core,0.007240541,0.002947828,0.004233263
615,Core,0.006258388,0.001752606,0.005270902
616,Core,0.005327067,0.001966276,0.003935334
617,Core,0.011851818,0.005792244,0.002014959
618,Core,0.002819071,0.002576473,0.003296876
619,Core,0.003929251,0.002090369,0.002332989
620,Core,0.004600253,0.00175127,0.002794101
621,Core,0.004327816,0.002568328,0.003260142
622,Core,0.002155886,0.00203787,0.0019017
623,Core,0.014668783,0.002353832,0.004485984
624,Core,0.003640107,0.000993164,0.001862941
625,Core,0.003644415,0.001524342,0.002344436
626,Core,0.00889455,0.010143698,0.022726286
627,Core,0.002961626,0.00277484,0.003421914
628,Core,0.002298943,0.001850017,0.001740626
629,Core,0.003905204,0.003494462,0.002855671
630,Core,0.004114609,0.004566264,0.002243819
631,Core,0.004348909,0.00467735,0.005811087
632,Core,0.002509849,0.001685901,0.001180594
633,Core,0.002057865,0.002305696,0.001240462
634,Core,0.00518979,0.005587245,0.004377468
635,Core,0.002614419,0.0022126,0.002085838
636,Core,0.005926654,0.005785701,0.005480349
637,Core,0.001068948,0.001239804,0.0016799
638,Core,0.013483195,0.005653243,0.009291419
639,Core,0.001175688,0.001557485,0.001236322
640,Core,0.001715597,0.00144105,0.002018939
641,Core,0.005614523,0.004739302,NA
642,Core,0.002745808,0.002263708,0.001928717
643,Core,0.001866208,0.001924319,0.001782112
644,Core,0.014199907,0.034681448,0.012646725
645,Core,0.001861094,0.001637957,0.002556729
646,Core,0.002923649,0.00271126,0.002794344
647,Core,0.008332396,0.004569053,0.003798518
648,Core,0.004644786,0.003796973,0.005252011
649,Core,0.000752458,0.00130881,0.000928409
650,Core,0.013247222,0.005942516,0.002770645
651,Core,0.002079664,0.002248646,0.003897252
652,Core,0.003498106,0.003027684,0.002589731
653,Core,0.003069422,0.003076747,0.007059518
654,Core,0.001959106,0.002011193,0.001698912
655,Core,0.000972156,0.000975784,0.001452944
656,Core,0.005363248,0.003894362,0.013315195
657,Core,0.002472475,0.002368243,0.00477572
658,Core,0.003643969,0.004732139,0.001330586
659,Core,0.03369519,0.006706154,0.006383292
660,Core,0.003205488,0.003456054,0.00292169
661,Core,0.001253981,0.001238174,0.001274796
662,Core,0.002139115,0.00196388,0.002118042
663,Core,0.002425162,0.002118422,0.002309489
664,Core,0.001923517,0.001986196,0.0020657
665,Core,0.003681209,0.005376495,0.002397162
666,Core,0.002089601,0.002557022,0.002088762
667,Core,0.002276062,0.003164302,0.002615121
668,Core,0.007885678,0.008299365,NA
669,Core,0.004037594,0.003481037,0.003759265
670,Core,0.001781259,NA,0.004070133
671,Core,0.009851204,NA,0.013116567
672,Core,0.001700402,0.001707905,0.001906796
673,Core,0.004081997,0.004027643,0.004841234
674,Core,0.001270517,0.001359453,0.001420545
675,Core,0.00185436,0.001590241,0.002186923
676,Core,0.001310004,0.001228889,0.001362304
677,Core,0.001844105,0.002153914,0.001571863
678,Core,0.001751971,0.00165506,0.001969064
679,Core,0.002131817,0.002339723,0.002343743
680,Core,0.002222532,0.002094649,0.004526929
681,Core,0.00237259,0.002816024,0.002230557
682,Core,0.002582496,0.002154094,0.00159456
683,Core,0.00834853,0.013703541,0.010908391
684,Core,0.008586763,0.008443452,0.005305581
685,Core,0.002492195,0.001678917,0.002459476
686,Core,0.001325042,0.010629033,0.001727539
687,Core,0.00419613,0.004101241,0.004804875
688,Core,0.001986429,0.00228322,0.00132799
689,Core,0.005604496,0.003700689,0.003366411
690,Core,0.003014353,0.002543587,0.002587188
691,Core,0.003836246,0.002648503,0.003113446
692,Core,0.00255148,0.017280482,0.003167889
693,Core,0.002379548,0.001795342,0.002744179
694,Core,0.002872159,0.002132841,0.002303888
695,Core,0.012619012,0.008659111,NA
696,Core,0.007002563,0.006738406,0.006462764
697,Core,0.001841154,0.001599312,0.001977381
698,Core,0.001526036,0.001079299,0.001312591
699,Core,0.002013262,0.001845612,0.001746843
700,Core,0.001267241,0.001163191,0.001266272
701,Core,0.003198074,0.004687772,0.003233069
702,Core,0.002874917,0.00245414,0.002727258
703,Core,0.004555759,0.005477287,0.003403438
704,Core,0.007287454,0.011452753,0.012540672
705,Core,0.001793103,0.001740603,0.001501678
706,Core,0.004699181,0.004630254,0.004903482
707,Core,0.004326441,0.003682004,0.001844731
708,Core,0.00404125,0.004168592,0.003694368
709,Core,0.002635381,0.00267241,0.002778849
710,Core,0.004145309,0.0034058,0.003531548
711,Core,0.002271928,0.002167391,0.002149097
712,Core,0.003086324,0.003057823,0.003195166
713,Core,0.01304368,0.008628124,0.005554442
714,Core,0.003434994,0.00297299,0.003668183
715,Core,0.001549804,0.00132438,0.001742094
716,Core,0.002942189,0.003202798,0.001783262
717,Core,0.003087975,0.001632048,0.001038466
718,Core,0.004284263,0.005496342,0.004706929
719,Core,0.014840509,0.010839781,0.002362408
720,Core,0.002992094,0.002974033,0.002756023
721,Core,0.001724535,0.001063287,0.00110723
722,Core,0.003678572,0.016515829,0.006165059
723,Core,0.004806928,0.004010474,0.005236485
724,Core,0.001650384,0.001563765,0.001927013
725,Core,0.005893948,0.003387597,0.004239723
726,Core,0.002480674,0.003050683,0.002771747
727,Core,0.002469487,0.001941871,0.001221798
728,Core,0.002368443,0.001678211,NA
729,Core,0.006742843,0.006439063,0.006282618
730,Core,0.002525849,0.002349585,0.002254297
731,Core,0.002926627,0.003166353,0.002940008
732,Core,0.002920754,0.002973608,0.003163948
733,Core,0.001770946,0.00157645,0.001775333
734,Core,0.003813065,0.003437244,0.003237624
735,Core,0.002468168,0.002107311,0.001921357
736,Core,0.002618481,0.002934533,0.00235163
737,Core,0.006821584,0.002933214,0.003277276
738,Core,0.001261697,0.001276497,0.001299411
739,Core,0.005651142,0.005147758,0.005107859
740,Core,0.001966834,0.001727085,0.001822153
741,Core,0.003957071,0.003365685,0.003477925
742,Core,0.002489706,0.002443186,0.002281243
743,Core,0.001301567,0.001204503,0.000980979
744,Core,0.001668753,0.001568394,0.001559665
745,Core,0.002056275,0.002635202,0.002222613
746,Core,0.003024471,0.002596934,0.002669471
747,Core,0.003319906,0.003555282,0.003550736
748,Core,0.003798563,0.003904104,0.004103956
749,Core,0.005582925,0.004890023,0.004344027
750,Core,0.004779892,0.003365001,0.004794962
751,Core,0.004235666,0.00518711,0.005533558
752,Core,0.002734516,0.014733496,0.001069234
753,Core,0.001439192,0.001041056,0.001470628
754,Core,0.001889577,0.001867471,0.001547716
755,Core,0.003568693,0.002921032,0.003946496
756,Core,0.002102572,0.001354751,0.002922863
757,Core,0.00431291,0.004629478,0.006060285
758,Core,0.004083206,0.007554896,0.003300288
759,Core,0.001568713,0.001513305,0.001366907
760,Core,0.003653063,0.003617085,0.003661742
761,Core,0.00340408,0.004297583,0.007739392
762,Core,0.002952005,0.003094832,0.003047571
763,Core,0.002245741,0.002413164,0.00221264
764,Core,0.005601893,0.004777497,0.005089213
765,Core,0.002490905,0.002679189,0.002929917
766,Core,0.001946578,0.001981057,0.001624452
767,Core,0.00772888,0.015927015,0.006844914
768,Core,0.00188132,0.001551252,0.001393482
769,Core,0.001324375,0.001074283,0.001209068
770,Core,0.011170606,0.00421412,0.003525017
771,Core,0.001125735,0.025292679,0.001963822
772,Core,0.003591426,0.002606066,0.004598057
773,Core,0.01484064,0.010857303,0.005647086
774,Core,0.001013333,0.001586065,0.001140813
775,Core,0.001144617,0.001230264,0.001299015
776,Core,0.014521201,0.005611454,NA
777,Core,0.001657465,0.003630271,0.002860683
778,Core,0.001425826,0.001375995,0.001335607
779,Core,0.004747721,0.009003607,0.011206146
780,Core,0.002906365,0.00227932,0.001527949
781,Core,0.002849728,0.001764398,0.00569029
782,Core,0.010392087,0.007519351,0.00316124
783,Core,0.002790552,0.002783352,0.003466964
784,Core,0.002216324,0.002206153,0.002827342
785,Core,0.004031459,0.002139681,0.004770231
786,Core,0.003769376,0.00369077,0.00430373
787,Core,0.002514234,0.003842207,0.001173145
788,Core,0.004683534,0.006210302,0.009639754
789,Core,0.002177927,0.002146682,0.001810668
790,Core,0.002202826,0.002807151,0.002380104
791,Core,0.004555871,0.005068097,NA
792,Core,0.006949759,0.007351739,0.005413714
793,Core,0.003923059,0.003582933,0.004624901
794,Core,0.002975808,0.005862379,0.010481086
795,Core,0.002103463,0.002269005,0.003165389
796,Core,0.002780765,0.003664747,0.003746843
797,Core,0.005282683,0.004627929,0.008750171
798,Core,0.001871021,0.001629254,0.001765836
799,Core,0.003877148,0.003712722,0.00286816
800,Core,0.013646923,0.007528786,0.01043095
801,Core,0.002635394,0.005503615,0.00168779
802,Core,0.001932301,0.001783313,0.00175365
803,Core,0.004489899,0.011392229,0.003939446
804,Core,0.001859246,0.001655344,0.001834882
805,Core,0.004780472,0.004706788,0.006390898
806,Core,0.004022348,0.001931618,0.001354716
807,Core,0.002140725,0.001891445,0.006372416
808,Core,0.002197769,0.001838707,0.001776309
809,Core,0.003697396,0.004349421,0.003066185
810,Core,0.001416843,0.001323248,0.00217168
811,Core,0.005023228,0.003598999,0.001779661
812,Core,0.0078402,0.007658186,0.012444709
813,Core,0.002098545,0.001932938,0.001293172
814,Core,0.003649047,0.002859453,0.003943369
815,Core,0.001972982,0.001595504,0.005250223
816,Core,0.001481005,0.00149636,0.000799448
817,Core,0.003853077,0.005284486,0.004143524
818,Core,0.007879196,0.010905686,0.009491797
819,Core,0.000592331,0.000838925,0.000557216
820,Core,0.004949477,0.004323133,0.004525987
821,Core,0.002290661,0.00434526,0.002161762
822,Core,0.00392898,0.002825377,0.002177788
823,Core,0.001921569,0.004048445,0.0020585
824,Core,0.005875153,0.010231196,0.001694627
825,Core,0.002657471,0.003073396,0.005334513
826,Core,0.004583285,0.004829965,0.002868489
827,Core,0.002598815,0.001667276,0.005855765
828,Core,0.005185123,0.005326932,0.003537255
829,Core,0.003081423,0.002852478,0.003645927
830,Core,0.012607686,0.007761708,0.011649243
831,Core,0.00221842,0.002652132,0.002487325
832,Core,0.002877751,0.002656939,0.002937077
833,Core,0.016370599,0.018723672,0.030788641
834,Core,0.002815468,0.002632136,0.003531521
835,Core,0.002663689,0.002420037,0.002700867
836,Core,0.006710847,0.008291745,0.005879416
837,Core,0.004544368,0.004322176,0.004275257
838,Core,0.001031095,0.000965112,0.001119173
839,Core,0.007015128,0.013710081,0.004359611
840,Core,0.001443113,0.001801855,0.001174001
841,Core,0.00157989,0.001470422,0.001450997
842,Core,0.002091083,0.002634871,0.003901395
843,Core,0.004834254,0.004056798,0.004880908
844,Core,0.006957195,0.004815326,0.005141297
845,Core,0.023156718,0.014185229,0.019042274
846,Core,0.001281011,0.026707349,0.009773931
847,Core,0.005159838,0.00397582,0.003700508
848,Core,0.005031921,0.010042834,0.010422836
849,Core,0.000967707,0.002215098,0.002661297
850,Core,0.001007102,0.001727971,0.002043431
851,Core,0.013798299,0.005976689,NA
852,Core,0.002208064,0.002425282,0.002095229
853,Core,0.001459653,0.001478735,0.001488326
854,Core,0.005651409,0.00454852,0.00728838
855,Core,0.003699523,0.003265168,0.00395432
856,Core,0.002840379,0.002713939,0.002897888
857,Core,0.004103919,0.002896617,0.002965317
858,Core,0.006180199,0.006781232,0.005965638
859,Core,0.000887151,0.0009,0.00135114
860,Core,0.00938185,0.011489276,0.00625543
861,Core,0.002186063,0.002217664,0.004832377
862,Core,0.004780121,0.005028835,0.005269264
863,Core,0.007790575,0.018221683,0.004816331
864,Core,0.00586694,0.00537964,0.004835072
865,Core,0.000671995,0.000642282,0.000606499
866,Core,0.005978839,0.005889295,0.004341483
867,Core,0.002460862,0.003366563,0.002487612
868,Core,0.005052217,0.004841208,0.004500606
869,Core,0.004046361,0.002252165,0.002910882
870,Core,0.005799711,0.006077035,0.006252097
871,Core,0.004436063,0.004811826,0.004278521
872,Core,0.005861204,0.002190592,0.016285394
873,Core,0.002779432,0.004545513,0.002373593
874,Core,0.004281793,0.005105184,0.004460344
875,Core,0.014123346,NA,0.009056803
876,Core,0.010720034,NA,0.000813399
877,Core,0.003736697,0.003040642,0.004195263
878,Core,0.006191981,NA,0.008359761
879,Core,0.002214783,0.002751938,0.003006134
880,Core,0.003125457,0.002595211,0.002279138
881,Core,0.011371513,NA,0.009096278
882,Core,0.009054438,0.006523669,0.005873176
883,Core,0.004214584,0.004759245,0.003684149
884,Core,0.005339217,0.010455016,0.002394758
885,Core,0.004097499,0.004985409,NA
886,Core,0.005574415,0.004288257,0.005930152
887,Core,0.008599852,0.005058262,NA
888,Core,0.00403986,0.004367728,0.004598529
889,Core,0.0006657,0.001088347,0.000623781
