Site,Partition,Syn,Nonsyn,&beta;-&alpha;,Prob[&alpha;>&beta;],Prob[&alpha;<&beta;],BayesFactor[&alpha;<&beta;],PSRF,Neff
41,1,0.115,0.108,-0.007,0.276,0.545,15.667,1.006,238.155
42,1,1.206,0.008,-1.197,1,0,0,1.076,34.511
43,1,2.819,0.291,-2.528,1,0,0,1.01,171.873
44,1,0.057,0.111,0.054,0.14,0.684,28.343,1.012,152.731
45,1,0.072,0.019,-0.053,0.626,0.174,2.748,1.009,178.625
46,1,0.246,0.012,-0.234,0.85,0.057,0.784,1.006,230.923
47,1,0.157,0.33,0.173,0.164,0.762,41.948,1.005,252.099
48,1,0.56,0.618,0.058,0.366,0.561,16.689,1.039,60.03
49,1,0.638,0.129,-0.509,0.894,0.043,0.585,1.008,192.459
50,1,2.104,0.012,-2.092,1,0,0,1.089,30.386
51,1,0.329,0.011,-0.317,0.875,0.047,0.642,1.005,243.079
52,1,0.075,0.013,-0.062,0.672,0.126,1.886,1.009,179.043
53,1,0.866,0.009,-0.857,0.999,0,0.001,1.012,152.67
54,1,0.328,0.014,-0.314,0.865,0.055,0.763,1.006,238.375
55,1,0.2,0.014,-0.185,0.818,0.075,1.064,1.007,217.523
56,1,1.679,0.01,-1.67,1,0,0,1.05,49.115
57,1,1.179,0.137,-1.042,0.998,0.001,0.015,1.071,36.558
58,1,0.075,0.014,-0.06,0.663,0.136,2.052,1.009,179.275
59,1,1.205,0.022,-1.183,1,0,0.001,1.025,86.828
60,1,2.803,0.101,-2.701,1,0,0,1.011,163.111
61,1,1.147,0.01,-1.137,1,0,0,1.085,31.312
62,1,0.84,0.013,-0.827,1,0,0.001,1.088,30.459
63,1,0.327,0.021,-0.305,0.841,0.076,1.076,1.006,223.947
64,1,0.146,0.007,-0.139,0.964,0.004,0.048,1.005,250.092
65,1,1.809,0.009,-1.8,1,0,0,1.09,30.094
66,1,0.335,0.009,-0.326,0.983,0.002,0.025,1.006,230.308
67,1,0.32,0.135,-0.185,0.512,0.361,7.4,1.002,339.045
68,1,7.122,0.093,-7.029,1,0,0,1.006,228.212
69,1,0.359,0.115,-0.244,0.88,0.045,0.623,1.021,98.819
70,1,1.349,0.596,-0.754,0.855,0.095,1.368,1.026,83.228
71,1,0.173,1.104,0.93,0.002,0.995,2453.978,1.017,116.523
72,1,0.328,0.014,-0.314,0.865,0.055,0.763,1.006,238.375
73,1,3.058,0.018,-3.04,1,0,0,1.013,144.929
74,1,1.434,0.01,-1.423,1,0,0,1.034,67.603
75,1,0.413,1.187,0.774,0.004,0.977,549.807,1.006,223.583
76,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
77,1,1.892,0.012,-1.881,1,0,0,1.021,100.671
78,1,1.137,0.02,-1.117,0.998,0.001,0.01,1.021,98.75
79,1,1.227,0.009,-1.218,1,0,0,1.062,40.777
80,1,0.245,0.015,-0.23,0.833,0.071,0.996,1.006,224.273
81,1,2.984,0.09,-2.893,1,0,0,1.016,120.994
82,1,1.254,0.1,-1.155,1,0,0,1.056,44.442
83,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
84,1,1.017,0.009,-1.008,1,0,0,1.022,97.574
85,1,0.607,0.01,-0.598,0.996,0.001,0.007,1.01,175.15
86,1,1.919,0.012,-1.907,1,0,0,1.028,79.562
87,1,2.495,0.017,-2.478,1,0,0,1.042,56.837
88,1,1.083,0.009,-1.074,1,0,0,1.106,26.2
89,1,1.772,0.013,-1.758,1,0,0,1.054,46.258
90,1,1.716,0.111,-1.605,1,0,0.001,1.074,35.297
91,1,2.03,0.012,-2.018,1,0,0,1.089,30.136
92,1,2.371,0.017,-2.355,1,0,0,1.079,33.347
93,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
94,1,5.233,0.013,-5.22,1,0,0,1.016,122.769
95,1,1.147,0.013,-1.134,1,0,0,1.084,31.603
96,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
97,1,0.11,0.091,-0.019,0.284,0.525,14.484,1.005,253.784
98,1,0.283,0.016,-0.267,0.975,0.006,0.075,1.006,225.594
99,1,2.778,0.013,-2.766,1,0,0,1.027,81.64
100,1,1.23,0.009,-1.221,1,0,0,1.062,40.734
101,1,2.777,0.095,-2.682,1,0,0,1.014,135.021
102,1,2.811,0.018,-2.793,1,0,0,1.019,107.394
103,1,2.565,0.012,-2.553,1,0,0,1.024,89.469
104,1,0.523,0.013,-0.51,0.986,0.002,0.031,1.007,216.291
105,1,0.843,0.01,-0.833,1,0,0,1.064,39.81
106,1,7.123,0.5,-6.623,1,0,0,1.007,209.106
107,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
108,1,0.336,0.013,-0.323,0.975,0.004,0.058,1.005,255.224
109,1,2.828,0.087,-2.742,1,0,0,1.019,108.154
110,1,2.735,0.917,-1.818,0.988,0.002,0.027,1.013,141.85
111,1,0.161,0.014,-0.146,0.795,0.085,1.216,1.007,207.634
112,1,0.138,0.011,-0.127,0.793,0.077,1.095,1.007,204.425
113,1,0.523,0.013,-0.51,0.986,0.002,0.03,1.007,216.259
114,1,0.948,0.013,-0.936,1,0,0,1.112,25.032
115,1,0.656,0.011,-0.645,0.992,0.001,0.015,1.008,200.521
116,1,0.246,0.011,-0.236,0.855,0.052,0.722,1.006,232.54
117,1,0.336,0.011,-0.324,0.978,0.003,0.042,1.005,243.558
118,1,1.512,0.009,-1.503,1,0,0,1.043,55.242
119,1,1.088,0.015,-1.073,1,0,0,1.093,29.092
120,1,0.147,0.01,-0.137,0.95,0.008,0.103,1.006,233.679
121,1,2.148,0.012,-2.135,1,0,0,1.068,37.651
122,1,0.335,0.01,-0.326,0.981,0.002,0.03,1.006,234.144
123,1,0.12,0.088,-0.033,0.307,0.503,13.238,1.004,266.668
124,1,1.141,0.011,-1.13,1,0,0,1.087,30.937
125,1,0.139,0.01,-0.128,0.8,0.071,1.004,1.007,205.63
126,1,2.822,0.165,-2.656,1,0,0,1.006,223.105
127,1,0.218,0.091,-0.127,0.442,0.395,8.538,1.003,298.69
128,1,0.724,0.011,-0.713,0.997,0.001,0.007,1.01,174.142
129,1,0.79,0.184,-0.606,0.947,0.032,0.432,1.06,41.895
130,1,0.459,0.172,-0.287,0.761,0.134,2.017,1.007,218.021
131,1,0.335,0.01,-0.324,0.98,0.003,0.034,1.006,237.239
132,1,1.233,0.012,-1.221,1,0,0,1.064,40.096
133,1,0.138,0.011,-0.128,0.797,0.074,1.05,1.007,205.039
134,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
135,1,0.245,0.015,-0.23,0.833,0.071,0.996,1.006,224.273
136,1,2.233,0.013,-2.22,1,0,0,1.088,30.679
137,1,2.757,0.009,-2.748,1,0,0,1.095,28.609
138,1,0.638,0.009,-0.629,0.992,0.001,0.012,1.008,197.429
139,1,0.593,0.264,-0.328,0.787,0.146,2.241,1.024,88.242
140,1,0.854,0.011,-0.843,0.999,0,0.002,1.013,139.003
141,1,0.137,0.016,-0.121,0.766,0.102,1.483,1.008,197.745
142,1,2.048,0.132,-1.916,1,0,0,1.07,37.004
143,1,2.597,0.013,-2.584,1,0,0,1.028,78.04
144,1,2.772,0.013,-2.76,1,0,0,1.022,94.892
145,1,2.816,0.019,-2.797,1,0,0,1.01,167.513
146,1,0.137,0.016,-0.121,0.766,0.102,1.483,1.008,197.745
147,1,1.068,0.279,-0.788,0.989,0.006,0.074,1.045,53.668
148,1,0.851,0.011,-0.839,0.999,0,0.003,1.014,133.113
149,1,1.882,0.131,-1.751,1,0,0.003,1.111,25.182
150,1,0.335,0.01,-0.325,0.98,0.003,0.033,1.006,237.1
151,1,1.955,0.017,-1.939,1,0,0,1.013,138.275
152,1,0.629,0.011,-0.618,0.991,0.001,0.016,1.008,202.2
153,1,6.986,0.012,-6.975,1,0,0,1.006,229.904
154,1,1.223,0.013,-1.21,1,0,0,1.083,32.06
155,1,1.233,0.009,-1.224,1,0,0,1.069,37.421
156,1,2.023,0.014,-2.009,1,0,0,1.084,31.796
157,1,1.955,0.185,-1.77,1,0,0,1.025,87.103
158,1,0.585,0.139,-0.446,0.952,0.026,0.35,1.053,46.622
159,1,1.209,0.011,-1.199,1,0,0,1.086,31.105
160,1,0.161,0.014,-0.146,0.795,0.085,1.216,1.007,207.634
161,1,0.601,0.125,-0.476,0.929,0.03,0.408,1.017,117.138
162,1,0.958,0.01,-0.948,0.999,0,0.003,1.009,175.564
163,1,4.53,0.012,-4.518,1,0,0,1.017,116.42
164,1,2.796,0.015,-2.782,1,0,0,1.02,101.641
165,1,0.354,0.011,-0.343,0.988,0.002,0.024,1.008,196.329
166,1,0.205,0.007,-0.198,0.976,0.002,0.029,1.004,269.056
167,1,0.245,0.015,-0.23,0.833,0.071,0.996,1.006,224.273
168,1,7.118,0.011,-7.107,1,0,0,1.005,240.733
169,1,0.264,0.1,-0.164,0.767,0.057,0.793,1.008,202.362
170,1,1.348,0.008,-1.34,1,0,0,1.046,52.728
171,1,0.072,0.019,-0.053,0.626,0.174,2.748,1.009,178.625
172,1,0.161,0.013,-0.149,0.805,0.076,1.083,1.007,210.401
173,1,0.447,0.011,-0.436,0.998,0,0.005,1.012,150.519
174,1,2.966,0.011,-2.955,1,0,0,1.036,65.042
175,1,0.075,0.014,-0.062,0.669,0.129,1.936,1.009,179.126
176,1,1.147,0.12,-1.028,0.999,0,0.006,1.085,31.517
177,1,1.266,0.007,-1.259,1,0,0,1.031,72.971
178,1,2.814,0.013,-2.801,1,0,0,1.019,107.591
179,1,2.816,0.02,-2.796,1,0,0,1.008,200.205
180,1,7.118,0.012,-7.106,1,0,0,1.006,235.471
181,1,2.815,0.111,-2.704,1,0,0,1.006,224.051
182,1,1.692,0.12,-1.571,1,0,0,1.112,25.151
183,1,0.839,0.01,-0.829,1,0,0,1.057,44.207
184,1,2.873,0.015,-2.858,1,0,0,1.027,81.198
185,1,5.354,0.11,-5.244,1,0,0,1.006,234.123
186,1,2.815,0.105,-2.71,1,0,0,1.005,243.779
187,1,4.382,0.12,-4.262,1,0,0,1.016,122.969
188,1,2.08,0.092,-1.988,1,0,0,1.092,29.339
189,1,3.475,0.124,-3.351,1,0,0,1.005,254.148
190,1,5.371,0.012,-5.359,1,0,0,1.006,225.357
191,1,2.722,0.091,-2.63,1,0,0,1.039,60.005
192,1,2.312,0.127,-2.185,1,0,0,1.065,39.085
193,1,0.63,0.864,0.234,0.215,0.703,30.962,1.02,103.638
194,1,2.786,0.014,-2.772,1,0,0,1.036,63.931
195,1,0.137,0.014,-0.123,0.777,0.092,1.325,1.008,200.767
196,1,0.96,0.01,-0.95,1,0,0.001,1.013,142.768
197,1,5.511,0.086,-5.425,1,0,0,1.016,119.454
198,1,3.022,1.185,-1.837,1,0,0,1.016,123.665
199,1,1.363,0.013,-1.35,1,0,0,1.073,35.556
200,1,3.448,0.499,-2.948,1,0,0,1.008,198.869
201,1,4.444,0.014,-4.431,1,0,0,1.016,121.563
202,1,1.184,0.105,-1.08,1,0,0,1.074,35.382
203,1,0.803,0.107,-0.696,0.987,0.005,0.062,1.019,105.334
204,1,0.341,0.008,-0.333,0.985,0.001,0.02,1.006,224.786
205,1,1.131,0.009,-1.123,1,0,0,1.1,27.418
206,1,1.217,0.011,-1.206,1,0,0,1.054,46.059
207,1,0.161,0.013,-0.149,0.805,0.076,1.083,1.007,210.401
208,1,2.815,0.013,-2.801,1,0,0,1.01,168.421
209,1,6.7,0.089,-6.611,1,0,0,1.017,116.56
210,1,1.132,0.185,-0.947,0.985,0.008,0.111,1.077,33.991
211,1,2.474,0.013,-2.461,1,0,0,1.026,83.785
212,1,0.591,0.098,-0.493,0.991,0.003,0.037,1.024,89.782
213,1,0.643,0.106,-0.537,0.913,0.024,0.324,1.006,221.699
214,1,1.171,0.278,-0.894,0.98,0.012,0.154,1.069,37.353
215,1,1.441,0.158,-1.283,0.993,0.004,0.053,1.086,31.199
216,1,2.769,1.195,-1.574,0.98,0.005,0.065,1.024,88.162
217,1,6.825,7.072,0.246,0.011,0.068,0.952,1.004,294.653
218,1,2.811,0.328,-2.483,1,0,0,1.009,186.147
219,1,2.798,2.815,0.017,0,0.011,0.144,1.016,119.907
220,1,6.822,0.009,-6.813,1,0,0,1.014,136.502
221,1,2.814,0.02,-2.794,1,0,0,1.009,184.563
222,1,2.851,0.015,-2.836,1,0,0,1.027,80.791
223,1,2.261,0.738,-1.523,0.968,0.005,0.065,1.012,151.251
224,1,0.961,0.009,-0.951,0.999,0,0.002,1.009,177.309
225,1,2.062,0.015,-2.047,1,0,0,1.086,31.249
226,1,1.756,0.011,-1.745,1,0,0,1.029,76.862
227,1,2.558,0.278,-2.28,1,0,0.001,1.025,86.444
228,1,1.148,0.008,-1.14,1,0,0,1.094,28.959
229,1,1.111,0.01,-1.101,1,0,0,1.029,77.48
230,1,2.814,0.014,-2.8,1,0,0,1.016,119.578
231,1,2.458,0.63,-1.827,0.982,0.007,0.087,1.009,181.97
232,1,0.664,0.615,-0.048,0.454,0.473,11.723,1.039,60.178
233,1,2.812,0.628,-2.184,1,0,0,1.009,179.75
234,1,1.696,0.458,-1.237,0.973,0.015,0.203,1.026,85.172
235,1,1.047,7.125,6.078,0,1,91187466.15,1.014,134.904
236,1,1.091,0.254,-0.838,0.966,0.021,0.281,1.072,36.174
237,1,7.11,1.675,-5.434,0.999,0,0,1.006,232.341
238,1,2.042,0.012,-2.03,1,0,0,1.024,88.402
239,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
240,1,2.72,0.123,-2.598,1,0,0,1.05,48.708
241,1,2.801,1.212,-1.589,0.988,0.002,0.029,1.025,87.39
242,1,2.677,2.387,-0.291,0.26,0.091,1.305,1.022,96.574
243,1,1.116,0.466,-0.65,0.922,0.049,0.677,1.037,63.482
244,1,2.76,0.173,-2.586,1,0,0,1.025,87.435
245,1,2.8,0.085,-2.715,1,0,0,1.051,48.317
246,1,2.754,0.089,-2.665,1,0,0,1.066,38.839
247,1,1.576,0.011,-1.566,1,0,0,1.085,31.488
248,1,2.781,0.012,-2.768,1,0,0,1.052,47.588
249,1,2.64,1.129,-1.51,0.945,0.021,0.282,1.023,93.423
250,1,5.692,0.232,-5.46,1,0,0,1.006,233.636
251,1,2.785,0.018,-2.767,1,0,0,1.023,92.455
252,1,3.368,2.815,-0.553,0.128,0,0,1.009,180.103
253,1,1.129,0.008,-1.12,1,0,0,1.036,64.512
254,1,2.75,0.013,-2.737,1,0,0,1.052,47.223
255,1,2.838,2.194,-0.643,0.394,0,0,1.012,152.8
256,1,1.572,1.159,-0.414,0.429,0.382,8.087,1.023,91.287
257,1,1.89,0.228,-1.662,0.991,0.006,0.073,1.059,42.766
258,1,1.032,0.009,-1.023,1,0,0,1.108,25.755
259,1,0.835,0.029,-0.805,0.996,0.002,0.027,1.097,28.122
260,1,2.817,0.095,-2.722,1,0,0,1.005,244.791
261,1,7.072,0.126,-6.946,1,0,0,1.007,214.904
262,1,0.852,0.097,-0.755,0.993,0.002,0.027,1.011,155.337
263,1,1.252,0.011,-1.242,1,0,0,1.044,54.1
264,1,1.107,0.128,-0.979,0.999,0.001,0.008,1.072,36.136
265,1,2.808,0.013,-2.795,1,0,0,1.022,96.496
266,1,1.41,0.01,-1.4,1,0,0,1.084,31.793
267,1,2.815,0.018,-2.797,1,0,0,1.033,69.152
268,1,2.786,1.769,-1.017,0.648,0.01,0.127,1.029,77.466
269,1,2.692,0.015,-2.678,1,0,0,1.044,54.827
270,1,2.803,0.156,-2.647,1,0,0,1.021,98.281
271,1,2.812,0.445,-2.367,1,0,0,1.015,127.914
272,1,3.977,0.014,-3.963,1,0,0,1.017,116.742
273,1,1.402,0.009,-1.393,1,0,0,1.026,83.246
274,1,0.791,0.152,-0.639,0.967,0.017,0.23,1.044,54.626
275,1,2.824,0.253,-2.571,1,0,0,1.014,135.179
276,1,2.799,0.015,-2.784,1,0,0,1.025,87.734
277,1,1.694,0.011,-1.683,1,0,0,1.059,42.84
278,1,2.823,0.018,-2.804,1,0,0,1.033,69.554
279,1,2.041,0.102,-1.939,1,0,0,1.08,33.217
280,1,2.817,0.02,-2.796,1,0,0,1.007,204.853
281,1,2.342,0.013,-2.329,1,0,0,1.084,31.803
282,1,0.968,0.014,-0.954,0.998,0,0.006,1.011,156.009
283,1,1.436,0.293,-1.144,0.999,0,0.003,1.014,136.355
284,1,2.047,0.126,-1.921,1,0,0,1.077,33.975
285,1,2.908,0.083,-2.825,1,0,0,1.006,237.177
286,1,1.253,0.008,-1.245,1,0,0,1.059,42.549
287,1,3.249,1.185,-2.064,1,0,0,1.01,165.408
288,1,2.818,1.159,-1.659,0.999,0,0,1.011,162.967
289,1,2.81,0.023,-2.787,1,0,0,1.015,126.8
290,1,1.264,0.122,-1.142,1,0,0.001,1.042,56.738
291,1,7.124,0.103,-7.021,1,0,0,1.006,229.623
292,1,5.224,0.107,-5.118,1,0,0,1.007,202.79
293,1,2.594,0.147,-2.448,1,0,0,1.061,41.284
294,1,2.694,0.108,-2.585,1,0,0,1.023,93.232
295,1,2.874,0.112,-2.762,1,0,0,1.015,129.476
296,1,2.652,0.289,-2.363,1,0,0.001,1.034,67.596
297,1,1.452,2.814,1.362,0,0.745,38.189,1.014,132.65
298,1,4.809,0.3,-4.509,1,0,0,1.006,223.928
299,1,8.888,0.473,-8.416,0.953,0.039,0.527,1.044,54.137
300,1,2.914,0.156,-2.758,1,0,0,1.013,138.917
301,1,2.797,0.895,-1.902,0.997,0.001,0.009,1.01,170.061
302,1,7.087,0.019,-7.068,1,0,0,1.007,218.044
303,1,2.872,2.815,-0.057,0.014,0.001,0.009,1.013,144.002
304,1,2.856,0.015,-2.841,1,0,0,1.028,80.274
305,1,2.808,0.014,-2.794,1,0,0,1.024,90.214
306,1,2.057,0.012,-2.045,1,0,0,1.024,88.321
307,1,2.951,0.013,-2.939,1,0,0,1.007,216.399
308,1,2.683,1.272,-1.41,0.897,0.033,0.45,1.033,69.151
309,1,2.944,0.015,-2.929,1,0,0,1.018,113.18
310,1,2.763,0.173,-2.59,1,0,0,1.025,87.58
311,1,1.224,0.013,-1.211,1,0,0,1.083,32.068
312,1,2.677,0.091,-2.586,1,0,0,1.018,113.387
313,1,1.829,0.115,-1.714,0.997,0.001,0.013,1.015,125.307
314,1,3.673,0.483,-3.19,1,0,0,1.015,129.599
315,1,1.341,0.012,-1.329,1,0,0,1.022,95.521
316,1,6.388,0.092,-6.296,1,0,0,1.011,157.209
317,1,5.177,0.014,-5.163,1,0,0,1.01,169.623
318,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
319,1,1.023,0.011,-1.012,1,0,0,1.068,37.739
320,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
321,1,1.19,0.011,-1.179,1,0,0,1.064,39.745
322,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
323,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
324,1,5.678,0.083,-5.595,0.998,0.001,0.013,0.999,577.209
325,1,1.104,0.009,-1.094,1,0,0,1.024,90.652
326,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
327,1,2.82,0.013,-2.807,1,0,0,1.033,69.912
328,1,2.724,0.013,-2.711,1,0,0,1.024,90.233
329,1,2.829,0.105,-2.724,1,0,0,1.02,103.462
330,1,2.858,2.299,-0.56,0.333,0,0.002,1.014,132.674
331,1,2.878,0.015,-2.863,1,0,0,1.041,58.304
332,1,2.819,0.02,-2.799,1,0,0,1.007,206.253
333,1,1.673,2.781,1.108,0.012,0.637,22.992,1.024,88.258
334,1,5.915,1.167,-4.748,1,0,0,1.01,166.493
335,1,2.624,0.5,-2.123,0.998,0,0.003,1.013,139.851
336,1,2.873,0.024,-2.849,1,0,0,1.024,89.574
337,1,1.022,0.198,-0.824,0.988,0.007,0.089,1.071,36.527
338,1,1.259,0.098,-1.16,1,0,0.001,1.079,33.326
339,1,2.226,0.014,-2.212,1,0,0,1.091,29.807
340,1,0.964,0.944,-0.02,0.384,0.451,10.741,1.019,107.515
341,1,2.606,0.013,-2.593,1,0,0,1.055,45.154
342,1,1.285,0.208,-1.077,0.995,0.003,0.038,1.046,52.262
343,1,0.161,0.399,0.238,0.126,0.821,59.804,1.008,201.44
344,1,0.628,0.1,-0.529,0.943,0.016,0.219,1.007,217.692
345,1,2.487,0.719,-1.768,0.978,0.004,0.053,1.014,131.602
346,1,1.807,0.105,-1.702,1,0,0.001,1.093,29.314
347,1,2.587,0.083,-2.504,0.954,0.03,0.399,1,476.248
348,1,0.588,0.503,-0.086,0.518,0.397,8.602,1.038,61.527
349,1,1.16,0.141,-1.019,1,0,0.002,1.077,34.108
350,1,1.031,0.014,-1.017,1,0,0,1.11,25.397
351,1,4.42,0.014,-4.406,1,0,0,1.008,196.216
352,1,0.415,0.01,-0.405,0.984,0.002,0.027,1.006,221.946
353,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
354,1,1.148,0.013,-1.135,1,0,0,1.084,31.652
355,1,0.111,0.094,-0.017,0.282,0.53,14.749,1.005,249.682
356,1,2.226,0.018,-2.208,1,0,0,1.011,158.511
357,1,0.915,0.148,-0.766,0.968,0.016,0.219,1.029,75.915
358,1,0.607,0.015,-0.592,0.993,0.002,0.021,1.01,172.409
359,1,2.517,0.564,-1.953,0.971,0.02,0.267,1.021,97.676
360,1,0.934,0.108,-0.826,0.984,0.006,0.076,1.012,150.672
361,1,2.814,0.015,-2.799,1,0,0,1.018,111.11
362,1,5.99,0.226,-5.764,1,0,0,1.007,204.355
363,1,0.86,0.009,-0.85,0.999,0,0.001,1.012,152.754
364,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
365,1,1.261,0.66,-0.602,0.775,0.158,2.446,1.035,66.581
366,1,2.843,0.018,-2.825,1,0,0,1.032,70.518
367,1,2.352,0.012,-2.34,1,0,0,1.092,29.406
368,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
369,1,2.794,0.124,-2.67,1,0,0,1.035,66.085
370,1,2.78,0.014,-2.766,1,0,0,1.094,28.895
371,1,2.774,0.014,-2.76,1,0,0,1.038,61.286
372,1,2.925,2.631,-0.294,0.139,0,0,1.01,171.616
373,1,2.816,0.897,-1.919,1,0,0,1.009,181.124
374,1,2.242,0.095,-2.147,1,0,0,1.104,26.673
375,1,0.959,0.408,-0.552,0.911,0.058,0.802,1.033,69.822
376,1,2.933,0.108,-2.825,1,0,0,1.005,240.724
377,1,2.813,0.02,-2.793,1,0,0,1.009,181.288
378,1,2.769,0.011,-2.757,1,0,0,1.027,81.021
379,1,2.055,0.359,-1.696,0.997,0.002,0.021,1.021,98.333
380,1,1.258,1.206,-0.052,0.252,0.49,12.57,1.025,87.674
381,1,7.113,0.011,-7.102,1,0,0,1.006,234.873
382,1,3.897,0.016,-3.881,1,0,0,1.009,184.318
383,1,6.869,0.012,-6.857,1,0,0,1.011,158.343
384,1,6.625,15.518,8.893,0,1,195513.846,1,455.548
385,1,1.464,0.099,-1.365,1,0,0.001,1.093,29.309
386,1,3.157,7.125,3.968,0,0.919,149.374,1.006,237.666
387,1,0.968,3.491,2.523,0,0.949,244.564,1.003,301.43
388,1,6.87,1.777,-5.094,0.985,0,0,1.006,221.045
389,1,1.36,0.016,-1.343,1,0,0.001,1.04,59.474
390,1,3.189,1.194,-1.995,0.992,0,0,1.015,130.259
391,1,2.954,15.764,12.81,0,1,1210400976,0.997,1123.407
392,1,7.09,7.118,0.028,0.002,0.009,0.123,1.003,309.45
393,1,4.961,5.301,0.34,0.128,0.207,3.411,1.013,144.22
394,1,7.136,7.125,-0.011,0.002,0.001,0.014,1.003,314.739
395,1,6.939,29.442,22.503,0,1,37165.924,1.004,277.611
396,1,6.778,7.172,0.393,0.001,0.087,1.243,1.003,323.179
397,1,2.688,46.868,44.18,0,1,6.10073E+12,1.008,189.919
398,1,10.483,7.136,-3.347,0.4,0.001,0.014,1.023,91.172
399,1,5.361,7.124,1.762,0,0.409,9.059,1.005,251.772
400,1,6.569,8.511,1.942,0,0.283,5.167,1.001,440.852
401,1,7.149,15.518,8.369,0,0.997,4082.652,1.006,223.264
402,1,5.795,4.098,-1.697,0.513,0.12,1.777,1.011,157.914
403,1,26.948,2.821,-24.126,1,0,0,0.999,569.516
404,1,4.684,7.18,2.496,0,0.567,17.129,1.005,241.278
405,1,7.124,2.846,-4.278,0.993,0,0,1.004,277.327
406,1,2.435,0.018,-2.417,1,0,0,1.042,56.524
407,1,2.764,2.859,0.095,0,0.041,0.559,1.026,84.667
408,1,4.459,2.815,-1.644,0.382,0,0.005,1.012,153.657
409,1,3.398,0.024,-3.374,1,0,0,1.016,123.605
